,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
0,Brc1ccc2c(c1)N[C@H](c1ccccc1)CC2,TE,F,@,S,Brc1ccc2c(c1)NC(c1ccccc1)CC2,Brc1ccc2c(c1)N[C@@H](c1ccccc1)CC2
1,Brc1ccc2c(c1)N[C@@H](c1ccccc1)CC2,TE,L,@@,R,Brc1ccc2c(c1)NC(c1ccccc1)CC2,Brc1ccc2c(c1)N[C@H](c1ccccc1)CC2
2,C#CCO[C@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,TE,F,@,S,C#CCOC(CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,C#CCO[C@@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1
3,C#CCO[C@@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,TE,L,@@,R,C#CCOC(CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,C#CCO[C@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1
4,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,TE,F,@@,R,C=C(C(C)=O)C(CC(=O)c1ccc(Br)cc1)C(=O)OCC,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC
5,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,TE,L,@,S,C=C(C(C)=O)C(CC(=O)c1ccc(Br)cc1)C(=O)OCC,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC
6,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,TE,F,@@,R,C=C(C(C)=O)C(CC(=O)c1ccc(Cl)cc1)C(=O)OCC,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC
7,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,TE,L,@,S,C=C(C(C)=O)C(CC(=O)c1ccc(Cl)cc1)C(=O)OCC,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC
8,C=C(C[C@@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,TE,F,@@,R,C=C(CC1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,C=C(C[C@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC
9,C=C(C[C@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,TE,L,@,S,C=C(CC1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,C=C(C[C@@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC
